"ORIGEN","DESTINO","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Arbejal","Cervera De Pisuerga","AECL-107","Blas Fernández, S.L.","Regular",NA
"San Quirce Del Río Pisuerga","Herrera De Pisuerga","AECL-014","Mª Teresita del Niño Jesús Ruíz Rodríguez","Regular",NA
"Moarves De Ojeda","Herrera De Pisuerga","AECL-052","Autobuses del Pisuerga, S.L.","Regular",NA
"Tarilonte De La Peña","Guardo","VACL-009","Abagón, S.L.","Regular",NA
"Roscales De La Peña","Guardo","VACL-009","Abagón, S.L.","Regular",NA
"Velilla Del Río Carrión","Guardo","VACL-103","Linecar, S.A.","Regular",NA
"Alba De Los Cardaños","Guardo","AECL-046","Linecar, S.A.","Regular","Ies. De Guardo"
"Cardeñosa De Volpejera","Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Regular","Ieso Tierra De Campos"
"Villambroz","Saldaña","VACL-003","Autocares Tejedor H., S.L.","Regular",NA
"Villanuño De Valdavia","Saldaña","AECL-054","Estébanez Aja, S.A.","Regular",NA
"Congosto De Valdavia","Saldaña","AECL-054","Estébanez Aja, S.A.","Regular",NA
"Lantadilla","Palencia","VACL-153","Joaquín Gómez e Hijos, S.A.","Regular",NA
"Grijota","Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Paredes De Nava","Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Villada","Palencia","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Antigüedad","Palencia","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Cordovilla La Real","Palencia","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Villodrigo","Palencia","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Cevico Navero","Palencia","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Población De Cerrato","Venta De Baños","VACL-102","Autocares Tejedor H., S.L.","Regular",NA
"Alba De Cerrato","Venta De Baños","VACL-008","La Regional Vallisoletana, S.A.","Regular","Ies Recesvinto"
"Cascón De La Nava","Paredes De Nava","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Pozancos","Aguilar De Campoo","AECL-112","Autocares Cabria, S.L.","Regular",NA
"Lores","Cervera De Pisuerga","AECL-106","Autobuses del Pisuerga, S.L.","Regular","Cp Inf-Pri Modesto Lafuente"
"Soto De Cerrato","Magaz De Pisuerga","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Valle De Santullán","Porquera De Santullán","VACL-016","Autocares Donato, S.L.","Regular",NA
"Palencia","Quintana Del Puente","VACL-116","Moreno Vicente y Cía, S.L.","Regular",NA
"Palencia","Grijota","VACL-117","Moreno Vicente y Cía, S.L.","Regular",NA
"Villamediana","Torquemada","AECL-060","Linecar, S.A.","Regular","Cp Inf-Pri Héroes De La Independencia"
"Villafría De La Peña","Santibáñez De La Peña","VACL-009","Abagón, S.L.","Regular",NA
"Villavega De Aguilar","Aguilar De Campoo","VACL-016","Autocares Donato, S.L.","Regular","Cp Inf-Pri Castilla Y León"
"Valdecañas De Cerrato","Baltanás","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Pedrosillo De Alba","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Coca De Alba","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Anaya De Alba","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Chagarcía","Medianero","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Chagarcía","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Medianero","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Revalvos","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular","Ies Leonardo Da Vinci"
"Santa Teresa","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Nava De Francia","La Alberca","VACL-076","Adojaju, S.L.","Regular",NA
"Villoruela","Babilafuente","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Candelario","Bejar","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Montemayor Del Rio","Béjar","AECL-075","Justo Pérez Gómez","Regular",NA
"Santa María De Los Llanos","Béjar","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Cristobal","Bejar","Vacl-072","Viagón Autocares, S.L.","Regular",NA
"Carpio Bernardo","Calvarrasa De Abajo","VACL-078","Autocares Huerta, S.L.","Regular",NA
"Sancti","Spiritus","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Sancti","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Spiritus","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Agallas","Ciudad Rodrigo","AECL-074","J.J. Martín Gallego, S.L.","Regular",NA
"La Encina","Ciudad Rodrigo","VACL-054","J.J. Martín Gallego, S.L.","Regular",NA
"Navasfrías","Ciudad Rodrigo","VACL-067","J.J. Martín Gallego, S.L.","Regular",NA
"Fuentes De Oñoro","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Gallegos De Argañán","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Guadapero","Ciudad Rodrigo","VACL-072","Viagón Autocares, S.L.","Regular",NA
"La Alberguería De Argañan","Ciudad Rodrigo","VACL-058","J.J. Martín Gallego, S.L.","Regular",NA
"Pelarrodriguez","La Fuente De San Estebán","VACL-028","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Ardosillero","La Fuente De S. Esteban","VACL-028","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Puebla De Yeltes","La Fuente De San Estebán","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Castro Enriquez","La Fuente De S. Esteban","VACL-028","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Abusejo","La Fuente De San Esteban","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Pizarral","Guijuelo","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Sorihuela","Guijuelo","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Sanchotello","Guijuelo","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Villasdardo","Ledesma","AECL-064","Escudero Cuadrado Bus, S.L.","Regular",NA
"Valverde De Valdelacasa","Ledrada","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Ahigal De Los Aceiteros","Lumbrales","AECL-061","José Sánchez Diego, S.L.","Regular",NA
"Hinojosa De Duero","Lumbrales","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Galleguillos","Macotera","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Sequeros","Miranda Del Castañar","VACL-072","Viagón Autocares, S.L.","Regular","Cp Inf-Pri Virgen De La Cuesta"
"Pitiegua","Pedrosillo El Ralo","VACL-046","Transportes La Armuña, S.L.","Regular",NA
"Rasueros","Peñaranda De Bracamonte","VACL-077","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Mancera De Abajo","Peñaranda De Bracamonte","VACL-068","Autocares Galán Gómez, S.L.","Regular",NA
"Tordillos","Peñaranda De Bracamonte","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Zorita De La Frontera","Peñaranda De Bracamonte","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Aldearrubia","Salamanca","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Narros De Matalayegua","Salamanca","VACL-076","Adojaju, S.L.","Regular",NA
"Rollán","Salamanca","VACL-056","Adojaju, S.L.","Regular",NA
"Dios Le Guarde","Sancti","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Dios Le Guarde","Spiritus","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Sancti","Spiritus","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Carpio Bernardo","Santa Marta De Tormes","VACL-078","Autocares Huerta, S.L.","Regular",NA
"Nuevo Amatos","Santa Marta De Tormes","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Calvarrasa De Abajo","Santa Marta De Tormes","VACL-078","Autocares Huerta, S.L.","Regular",NA
"Navarredonda De La Rinconada","Tamames","VACL-076","Adojaju, S.L.","Regular",NA
"Cereceda De La Sierra","Tamames","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Puebla De Yeltes","Tamames","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Villarino De Los Aires","Vitigudino","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Villasbuenas","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Masueco","Vitigudino","VACL-070","Viagón Autocares, S.L.","Regular",NA
"Vilvestre","Vitigudino","VACL-071","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Mieza","Vitigudino","VACL-070","Viagón Autocares, S.L.","Regular",NA
"Pedraza De Alba","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Cepeda","La Alberca","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Villanueva Del Conde","La Alberca","VACL-076","Adojaju, S.L.","Regular",NA
"Herguijuela De La Sierra","La Alberca","VACL-076","Adojaju, S.L.","Regular",NA
"Huerta","Babilafuente","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Guijuelo","Bejar","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"La Hoya","Bejar","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Los Santos","Guijuelo","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Monterrubio De La Sierra","Guijuelo","VACL-022","Adojaju, S.L.","Regular",NA
"Aldeavieja De Tormes","Guijuelo","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"La Tala","Guijuelo","AECL-065","Cespedosa Bus, S.L.","Regular",NA
"Vega De Tirados","Ledesma","VACL-069","Transportes Vega de Tirados, S.L.","Regular",NA
"Tabera De Abajo","Ledesma","AECL-064","Escudero Cuadrado Bus, S.L.","Regular",NA
"Vega De Tirados","Ledesma","VACL-069","Transportes Vega de Tirados, S.L.","Regular",NA
"Canillejas De Abajo","Ledesma","AECL-064","Escudero Cuadrado Bus, S.L.","Regular",NA
"Miranda De Azán","Carbajosa De La Sagrada","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"San Pedro De Rozados","Salamanca","VACL-022","Adojaju, S.L.","Regular",NA
"Sanchotello","Ledrada","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"El Arco","Salamanca","VACL-059","Avanza Movilidad Integral, S. L. U.","Regular",NA
"El Pedroso De La Armuña","Salamanca","VACL-021","Autocares Hermanos Martín Martín, S.L.","Regular",NA
"Pitiegua","Salamanca","VACL-046","Transportes La Armuña, S.L.","Regular",NA
"Ledesma","Ledesma","VACL-090","Herederos de A. Tamame, S.A.","Regular",NA
"Monterrubio De Armuña","Villares De La Reina","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"El Payo","Ciudad Rodrigo","VACL-067","J.J. Martín Gallego, S.L.","Regular",NA
"El Sahugo","Ciudad Rodrigo","VACL-055","J.J. Martín Gallego, S.L.","Regular",NA
"Morasverdes","Tamames","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Horcajo Medianero","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Villar De La Yegua","Ciudad Rodrigo","VACL-060","Ancebus, S.L.U.","Regular",NA
"San Morales","Salamanca","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Poveda De Las Cintas","Cantalapiedra","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Villar De Peralonso","Villaseco De Los Gamitos","AECL-064","Escudero Cuadrado Bus, S.L.","Regular",NA
"Cereceda De La Sierra","La Fuente San Esteban","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Nuevo Amatos","Calvarrasa De Abajo","VACL-078","Autocares Huerta, S.L.","Regular",NA
"Almenara De Tormes","Villamayor","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular","Ceip"
"Almenara De Tormes","Villamayor","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular","Ies"
"Armenteros","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular","Ies"
"Aldearrubia","Villares De La Reina","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Armenteros","Guijuelo","AECL-065","Cespedosa Bus, S.L.","Regular",NA
"Alba De Tormes","Montejo","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Peñarandilla","Alba De Tormes","VACL-074","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Tabera De Abajo","Ledesma","AECL-064","Escudero Cuadrado Bus, S.L.","Regular",NA
"Herguijuela De La Sierra","Sotoserrano","VACL-072","Viagón Autocares, S.L.","Regular",NA
"Pedrosillo El Ralo","Salamanca","VACL-002","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Tardáguila","Salamanca","VACL-046","Transportes La Armuña, S.L.","Regular",NA
"Vistahermosa","Aldeatejada","VACL-022","Adojaju, S.L.","Regular",NA
"Las Casas Del Conde","La Alberca","VACL-076","Adojaju, S.L.","Regular",NA
"La Alberguería De Argañán","Fuenteguinaldo","VACL-058","J.J. Martín Gallego, S.L.","Regular",NA
"La Tala","Cespedosa De Tormes","AECL-065","Cespedosa Bus, S.L.","Regular",NA
"Villamayor","Almenara De Tormes","VACL-026","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Torreiglesias","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Mata De Cuellar","Cuellar","VACL-120","Linecar, S.A.","Regular",NA
"Ciruelos De Pradales","Ayllón","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Sauquillo De Cabezas","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Gomezserracín","Cuellar","VACL-120","Linecar, S.A.","Regular",NA
"Valseca","Segovia","VACL-122","Linecar, S.A.","Regular",NA
"Pradales","Ayllón","AECL-009","Autocares Víctor Bayo, S.L.","Regular",NA
"Rades De Abajo","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Pinarejos","Cuellar","VACL-126","Linecar, S.A.","Regular",NA
"Aldenueva Del Monte","Ayllón","AECL-080","Autocares Víctor Bayo, S.L.","Regular",NA
"Torrecilla Del Pinar","Cuéllar","VACL-121","Linecar, S.A.","Regular",NA
"Navares De Enmedio","Ayllón","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"El Parral De Villovela","Carbonero El Mayor","VACL-128","Autocares Garrido, S.L.","Regular",NA
"Fuente Del Olmo De Fuentidueña","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Fuentesáuco De Fuentidueña","Cuellar","VACL-121","Linecar, S.A.","Regular",NA
"Monterubio","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Jemenuño","Segovia","VACL-122","Linecar, S.A.","Regular",NA
"Cogeces Del Monte","Cuellar","VACL-126","Linecar, S.A.","Regular",NA
"Boceguillas","Ayllón","VACL-124","Linecar, S.A.","Regular",NA
"La Mata De Rasueros","Cantalejo","VACL-119","Linecar, S.A.","Regular",NA
"Pradales","Boceguillas","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Aldeonte","Ayllón","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Rades De Abajo","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Cobos De Fuentidueña","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Encinillas","Segovia","VACL-132","Linecar, S.A.","Regular",NA
"Castroserracín","Sepulveda","VACL-125","Linecar, S.A.","Regular",NA
"Requijada","Torrecaballeros","VACL-124","Linecar, S.A.","Regular",NA
"Bahabón","Cuéllar","VACL-120","Linecar, S.A.","Regular",NA
"Martin Muñoz De Las Posadas","Sta. Mª La Real De Nieva","VACL-123","Linecar, S.A.","Regular",NA
"Cozuelos De Fuentidueña","Olombrada","VACL-121","Linecar, S.A.","Regular",NA
"Torreadrada","Sacramenia","VACL-125","Linecar, S.A.","Regular",NA
"La Cuesta","Turégano","VACL-119","Linecar, S.A.","Regular",NA
"Villovela Del Pirón","Cantimpalos","VACL-128","Autocares Garrido, S.L.","Regular",NA
"La Rades","San Ildefonso","VACL-124","Linecar, S.A.","Regular","Ies Peñalara"
"Lastras Del Pozo","Sangarcia","VACL-125","Linecar, S.A.","Regular",NA
"Muñoveros","Cantalejo","VACL-119","Linecar, S.A.","Regular",NA
"Navas De Oro","Nava De La Asunción","VACL-123","Linecar, S.A.","Regular","Ies Jaime Gil De Biedma"
"Los Cortos","Sepulveda","VACL-125","Linecar, S.A.","Regular","Ceo Virgen De La Peña"
"Losana De Piron","Torrecaballeros","VACL-121","Linecar, S.A.","Regular",NA
"Torregutierrez","Cuéllar","VACL-120","Linecar, S.A.","Regular",NA
"Sta. Marta Del Cerro","Prádena","VACL-124","Linecar, S.A.","Regular",NA
"Laguna De Contreras","Sacramenia","VACL-121","Linecar, S.A.","Regular",NA
"El Espinar","Segovia","VAC-246","Avanza Movilidad Integral, S. L. U.","Regular",NA
"Marazoleja","Sangarcía","VACL-122","Linecar, S.A.","Regular",NA
"Otero De Herreros","Segovia","VAC-246","Avanza Movilidad Integral, S. L. U.","Regular","Ies La Albuera"
"Navares De Las Cuevas","Boceguillas","AECL-078","Autocares Víctor Bayo, S.L.","Regular","Cp Inf-Pri Cardenal Cisneros"
"Fuente El Olmo De Fuentidueña","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Villafranca","Sepulveda","VACL-125","Linecar, S.A.","Regular",NA
"La Higuera","Torrecaballeros","VACL-124","Linecar, S.A.","Regular","Cp Inf-Pri Marqués De Lozoya"
"Torreiglesias","Turegano","VACL-125","Linecar, S.A.","Regular",NA
"Requijada","San Ildefonso","VACL-124","Linecar, S.A.","Regular",NA
"Villarejo","Riaza","VACL-124","Linecar, S.A.","Regular",NA
"Jemenuño","Sangarcia","VACL-122","Linecar, S.A.","Regular",NA
"Grajera","Boceguillas","AECL-078","Autocares Víctor Bayo, S.L.","Regular",NA
"Espirdo","Torrecaballeros","VACL-124","Linecar, S.A.","Regular",NA
"Losana De Piron","San Ildefonso O La Granja","VACL-124","Linecar, S.A.","Regular",NA
"Santo Domingo De Pirón","Torrecaballeros","VACL-119","Linecar, S.A.","Regular",NA
"Cedillo De La Torre","Campo De San Pedro","AECL-080","Autocares Víctor Bayo, S.L.","Regular",NA
"Pinar Jardín","Santa María La Real De Nieva","VACL-122","Linecar, S.A.","Regular","Ies Catalina De Lancaster"
"Pobar","Almajano","AECL-089","Jesús Monge Álvarez","Regular",NA
"Ambrona","Medinaceli","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Layna","Medinaceli","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Monteagudo","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Deza","Soria","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Almaluez","Arcos De Jalón","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Serón De Nágima","Almazan","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Ontalvilla De Almazán","Almazán","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Baraona","Almazan","VACL-011","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Castillejo De Robledo","Langa De Duero","AECL-084","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Deza","Gómara","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"La Rasa","El Burgo De Osma","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Valdenebro","El Burgo De Osma","AECL-081","Moreno Sanz 2009, S.L.","Regular",NA
"Vildé","El Burgo De Osma","VACL-081","Blas Fernández, S.L.","Regular",NA
"Soto De San Esteban","San Esteban De Gormaz","AECL-084","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Gómara","Soria","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Borobia","Ólvega","VACL-006","Sanz Tierno Autocares, S.L.","Regular",NA
"Navas Del Pinar","Espejón","AECL-083","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Espeja De San Marcelino","San Leonardo De Yagüe","AECL-091","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Espejón","San Leonardo De Yagüe","AECL-083","Hijos de Ángel Arribas, S.L.U.","Regular",NA
"Duruelo De La Sierra","Covaleda","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Cubo De La Solana","Gómara","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Matute De La Sierra","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"Garray","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"Cubo De Hogueras","Soria","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Cabrejas Del Pinar","Soria","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"Arévalo De La Sierra","Soria","VACL-005","Sanz Tierno Autocares, S.L.","Regular",NA
"El Royo","Soria","VACL-045","Automóviles La Serrana, S.L.","Regular",NA
"San Felices","Ágreda","AECL-085","Serafín Saínz Ruíz","Regular",NA
"Gómara","Almazán","VACL-154","Sanz Tierno Autocares, S.L.","Regular",NA
"La Zarza","Ataquines","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Castronuevo De Esgueva","Esguevillas De Esgueva","VACL-159","Autocares Discrecionales Vallisoletanos, S.L. (AUTODIVAL)","Regular",NA
"Fombellida","Esguevillas De Esgueva","VACL-159","Autocares Discrecionales Vallisoletanos, S.L. (AUTODIVAL)","Regular",NA
"Melgar De Arriba","Mayorga","VACL-038","Linecar, S.A.","Regular",NA
"La Mudarra","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Moral De La Reina","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Villalba De Los Alcores","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Villardefrades","Mota Del Marqués","VACL-038","Linecar, S.A.","Regular",NA
"Canillas De Esgueva","Peñafiel","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Peñafiel","Peñafiel","VACL-040","Autocares de las Heras, S.L.","Regular","La Chopera"
"San Llorente","Peñafiel","VACL-160","Autocares de las Heras, S.L.","Regular",NA
"Santiago Del Arroyo","Arrabal De Portillo","VACL-126","Linecar, S.A.","Regular",NA
"Simancas","Simancas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Tordesillas","Tordesillas Ii","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Fuensaldaña","Cigales","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Pedrajas De San Esteban","Íscar","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"San Pablo De La Moraleja","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Torrecilla De La Orden","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Nava Del Rey","Medina Del Campo","VACL-157","Pescador Tours, S.L.","Regular",NA
"La Seca","Medina Del Campo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Villalba De Los Alcores Ii","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Peñaflor De Hornija","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Pozuelo De La Orden","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"San Pedro De Latarce","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Villardefrades","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Tamariz De Campos","Medina De Rioseco","VACL-038","Linecar, S.A.","Regular",NA
"Alcazarén","Olmedo","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Aldeamayor De San Martín","Portillo","VACL-126","Linecar, S.A.","Regular",NA
"La Pedraja De Portillo","Portillo","VACL-126","Linecar, S.A.","Regular",NA
"Montemayor De Pililla","Portillo","VACL-126","Linecar, S.A.","Regular",NA
"San Miguel Del Arroyo","Portillo","VACL-126","Linecar, S.A.","Regular","Arrabal"
"San Bernardo","Peñafiel","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Laguna De Contreras","Peñafiel","VACL-040","Autocares de las Heras, S.L.","Regular",NA
"Rueda","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"San Román De Hornija","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Sieteiglesias De Trabancos","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Castil De Vela","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Villavicencio De Los Caballeros","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Melgar De Abajo","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Monasterio De Vega","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Castrobol","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Simancas","Valladolid","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Fombellida","Valladolid","VACL-159","Autocares Discrecionales Vallisoletanos, S.L. (AUTODIVAL)","Regular",NA
"Villanubla","Valladolid","VACL-038","Linecar, S.A.","Regular",NA
"Wamba","Valladolid","VACL-038","Linecar, S.A.","Regular",NA
"San Martín De Valvení","Valladolid","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Villacid De Campos","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Vega De Ruiponce","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Serrada","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"San Cebrián De Mazote","Tordesillas","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"El Montico","Tordesillas","VACL-038","Linecar, S.A.","Regular",NA
"Cabezón De Valderaduey","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Villada","Villalón De Campos","VACL-038","Linecar, S.A.","Regular",NA
"Cubillas De Santa Marta","Cigales","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Boecillo","Boecillo","VACL-057","Empresa Cabrero, S.A.","Regular","Urb Pinar Del Peregrino"
"Cabezón De Pisuerga","Valladolid","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Medina Del Campo","Medina Del Campo","VACL-157","Pescador Tours, S.L.","Regular","Urbanización ""Las Salinas"""
"Aldeamayor De San Martín","Aldeamayor De San Martín","VACL-057","Empresa Cabrero, S.A.","Regular","Urbanización ""Golf"""
"Boecillo","Boecillo","VACL-057","Empresa Cabrero, S.A.","Regular","Urb Pago Del Nogal"
